candidate_id,artist,title,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_isrc,stream_count,captured_at,source_note
M059,Iron Fire,Among the Dead,02sRzXuXZBwnfEQEuDmMWn,2wUYahgemhGsBv9a51NfTn,https://open.spotify.com/artist/2wUYahgemhGsBv9a51NfTn,https://open.spotify.com/track/02sRzXuXZBwnfEQEuDmMWn,NOXPF1601020,,,Spotify desktop album page
M060,Pyramaze,Disciples of the Sun,15y18CCQL1zxTjZHB4xdJU,23jSIm8VfKV2HaQJtfR3PK,https://open.spotify.com/artist/23jSIm8VfKV2HaQJtfR3PK,https://open.spotify.com/track/15y18CCQL1zxTjZHB4xdJU,TCACF1554666,,,Spotify desktop album page
M061,Iron Mask,Tree of the World,1LO7BHOGUsNPtsquVhx2Ys,4fHO1843WfhVrQkRKO555M,https://open.spotify.com/artist/4fHO1843WfhVrQkRKO555M,https://open.spotify.com/track/1LO7BHOGUsNPtsquVhx2Ys,DEU602008914,,,Spotify desktop album page
M062,Fireforce,Combat Metal,6O3eQ6rVO2wOptHkAfWNEL,51hq2WvXCCc1z4ygbN4FFV,https://open.spotify.com/artist/51hq2WvXCCc1z4ygbN4FFV,https://open.spotify.com/track/6O3eQ6rVO2wOptHkAfWNEL,DET271214403,,,Spotify desktop album page
M063,Existance,Heavy Metal Fury,07obh8qfggtUWx5leUuDrf,75G0mByTO4R4eFmYdJs6ax,https://open.spotify.com/artist/75G0mByTO4R4eFmYdJs6ax,https://open.spotify.com/track/07obh8qfggtUWx5leUuDrf,FR26V1647792,,,Spotify desktop album page
M064,Sortilège,Messager - 2021,4tIMFWs6e4BMCsudGF7JQL,2mUthKsZa1UWKvbAcJWQ2U,https://open.spotify.com/artist/2mUthKsZa1UWKvbAcJWQ2U,https://open.spotify.com/track/4tIMFWs6e4BMCsudGF7JQL,FR7Z82100061,,,Spotify desktop album page
M065,Attick Demons,City of Golden Gates,6BZwg1KPw2Rl0sSzE8yGNc,5mf3WLEtrRlKH453i2mgXk,https://open.spotify.com/artist/5mf3WLEtrRlKH453i2mgXk,https://open.spotify.com/track/6BZwg1KPw2Rl0sSzE8yGNc,DEZ902000395,,,Spotify desktop album page
M066,Trooper,Destin,3THTf3wxzIhruAXH9Qh0g5,3nQoVVNwutGfczOpMK7HTd,https://open.spotify.com/artist/3nQoVVNwutGfczOpMK7HTd,https://open.spotify.com/track/3THTf3wxzIhruAXH9Qh0g5,ROA018003294,,,Spotify desktop album page
M067,Pentagram,Geçmişin Yükü,11DYAaYg2bXqa2Vr8OpS4z,1Xz8iP9Dvl5uI88iraOhs7,https://open.spotify.com/artist/1Xz8iP9Dvl5uI88iraOhs7,https://open.spotify.com/track/11DYAaYg2bXqa2Vr8OpS4z,TRA161200036,,,Spotify desktop album page
M068,Aria,Точка невозврата,4F2x1O03ARdVHwUgbkVlBa,0ICn3Cbc4mMeLmTvwnqXYu,https://open.spotify.com/artist/0ICn3Cbc4mMeLmTvwnqXYu,https://open.spotify.com/track/4F2x1O03ARdVHwUgbkVlBa,RUB241445506,,,Spotify desktop album page
